record_id,year,quarter,site_code,cost_type,cost_category,description,investment_krw,opex_krw,total_krw,ghg_reduction_tco2e,energy_reduction_tj,payback_years,sdg_linkage,source_system,created_at,updated_at,updated_by
ENV-INV-2024-0001,2024,1,SITE-DC02,환경투자,재생에너지 설치,동탄DC 태양광 패널 추가,462500000,20000000,482500000,212.5,0.525,8.0,SDG7,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0002,2024,1,SITE-DC01,환경투자,에너지효율화,수원DC 액냉시스템 전환,550000000,30000000,580000000,300.0,0.8,6.5,SDG13,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0003,2024,1,SITE-DC04,환경투자,에너지효율화,춘천DC UPS 고효율 교체,312500000,12500000,325000000,145.0,0.375,9.0,SDG13,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0004,2024,1,SITE-DC01,환경투자,용수절약,냉각탑 절수형 노즐 교체,105000000,7500000,112500000,0.0,0.0,5.0,SDG6,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0005,2024,1,SITE-DC01,환경투자,폐기물감량,ITAD 확대 구축,95000000,10000000,105000000,30.0,0.0,4.0,SDG12,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0006,2024,1,SITE-DC01,환경투자,오염방지,대기오염 저감장치 유지보수,62500000,37500000,100000000,0.0,0.0,0.0,SDG3,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0007,2024,1,SITE-DC04,환경투자,생태복원,춘천DC 주변 생태 녹화,125000000,12500000,137500000,0.0,0.0,0.0,SDG15,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0008,2024,1,SITE-DC01,환경투자,탄소중립인프라,REC 구매시스템 구축,200000000,50000000,250000000,1323.5,0.0,3.0,SDG13,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0009,2024,1,SITE-DC01,환경보호비용,환경모니터링,대기·수질 정기 측정,0,162500000,162500000,0.0,0.0,0.0,SDG3,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0010,2024,1,SITE-OF01,환경보호비용,환경교육,임직원·협력사 환경교육,0,70000000,70000000,0.0,0.0,0.0,SDG4,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0011,2024,1,SITE-DC01,환경보호비용,환경인증,ISO14001 인증 유지,0,37500000,37500000,0.0,0.0,0.0,SDG13,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0012,2024,1,SITE-DC05,환경부채,토지오염,부지 토양 정화 충당부채,0,112500000,112500000,0.0,0.0,0.0,SDG3,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_env
ENV-INV-2024-0013,2024,2,SITE-DC02,환경투자,재생에너지 설치,동탄DC 태양광 패널 추가,462500000,20000000,482500000,212.5,0.525,8.0,SDG7,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0014,2024,2,SITE-DC01,환경투자,에너지효율화,수원DC 액냉시스템 전환,550000000,30000000,580000000,300.0,0.8,6.5,SDG13,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0015,2024,2,SITE-DC04,환경투자,에너지효율화,춘천DC UPS 고효율 교체,312500000,12500000,325000000,145.0,0.375,9.0,SDG13,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0016,2024,2,SITE-DC01,환경투자,용수절약,냉각탑 절수형 노즐 교체,105000000,7500000,112500000,0.0,0.0,5.0,SDG6,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0017,2024,2,SITE-DC01,환경투자,폐기물감량,ITAD 확대 구축,95000000,10000000,105000000,30.0,0.0,4.0,SDG12,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0018,2024,2,SITE-DC01,환경투자,오염방지,대기오염 저감장치 유지보수,62500000,37500000,100000000,0.0,0.0,0.0,SDG3,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0019,2024,2,SITE-DC04,환경투자,생태복원,춘천DC 주변 생태 녹화,125000000,12500000,137500000,0.0,0.0,0.0,SDG15,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0020,2024,2,SITE-DC01,환경투자,탄소중립인프라,REC 구매시스템 구축,200000000,50000000,250000000,1323.5,0.0,3.0,SDG13,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0021,2024,2,SITE-DC01,환경보호비용,환경모니터링,대기·수질 정기 측정,0,162500000,162500000,0.0,0.0,0.0,SDG3,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0022,2024,2,SITE-OF01,환경보호비용,환경교육,임직원·협력사 환경교육,0,70000000,70000000,0.0,0.0,0.0,SDG4,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0023,2024,2,SITE-DC01,환경보호비용,환경인증,ISO14001 인증 유지,0,37500000,37500000,0.0,0.0,0.0,SDG13,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0024,2024,2,SITE-DC05,환경부채,토지오염,부지 토양 정화 충당부채,0,112500000,112500000,0.0,0.0,0.0,SDG3,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_env
ENV-INV-2024-0025,2024,3,SITE-DC02,환경투자,재생에너지 설치,동탄DC 태양광 패널 추가,462500000,20000000,482500000,212.5,0.525,8.0,SDG7,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0026,2024,3,SITE-DC01,환경투자,에너지효율화,수원DC 액냉시스템 전환,550000000,30000000,580000000,300.0,0.8,6.5,SDG13,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0027,2024,3,SITE-DC04,환경투자,에너지효율화,춘천DC UPS 고효율 교체,312500000,12500000,325000000,145.0,0.375,9.0,SDG13,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0028,2024,3,SITE-DC01,환경투자,용수절약,냉각탑 절수형 노즐 교체,105000000,7500000,112500000,0.0,0.0,5.0,SDG6,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0029,2024,3,SITE-DC01,환경투자,폐기물감량,ITAD 확대 구축,95000000,10000000,105000000,30.0,0.0,4.0,SDG12,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0030,2024,3,SITE-DC01,환경투자,오염방지,대기오염 저감장치 유지보수,62500000,37500000,100000000,0.0,0.0,0.0,SDG3,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0031,2024,3,SITE-DC04,환경투자,생태복원,춘천DC 주변 생태 녹화,125000000,12500000,137500000,0.0,0.0,0.0,SDG15,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0032,2024,3,SITE-DC01,환경투자,탄소중립인프라,REC 구매시스템 구축,200000000,50000000,250000000,1323.5,0.0,3.0,SDG13,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0033,2024,3,SITE-DC01,환경보호비용,환경모니터링,대기·수질 정기 측정,0,162500000,162500000,0.0,0.0,0.0,SDG3,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0034,2024,3,SITE-OF01,환경보호비용,환경교육,임직원·협력사 환경교육,0,70000000,70000000,0.0,0.0,0.0,SDG4,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0035,2024,3,SITE-DC01,환경보호비용,환경인증,ISO14001 인증 유지,0,37500000,37500000,0.0,0.0,0.0,SDG13,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0036,2024,3,SITE-DC05,환경부채,토지오염,부지 토양 정화 충당부채,0,112500000,112500000,0.0,0.0,0.0,SDG3,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_env
ENV-INV-2024-0037,2024,4,SITE-DC02,환경투자,재생에너지 설치,동탄DC 태양광 패널 추가,462500000,20000000,482500000,212.5,0.525,8.0,SDG7,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
ENV-INV-2024-0038,2024,4,SITE-DC01,환경투자,에너지효율화,수원DC 액냉시스템 전환,550000000,30000000,580000000,300.0,0.8,6.5,SDG13,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
ENV-INV-2024-0039,2024,4,SITE-DC04,환경투자,에너지효율화,춘천DC UPS 고효율 교체,312500000,12500000,325000000,145.0,0.375,9.0,SDG13,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
ENV-INV-2024-0040,2024,4,SITE-DC01,환경투자,용수절약,냉각탑 절수형 노즐 교체,105000000,7500000,112500000,0.0,0.0,5.0,SDG6,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
ENV-INV-2024-0041,2024,4,SITE-DC01,환경투자,폐기물감량,ITAD 확대 구축,95000000,10000000,105000000,30.0,0.0,4.0,SDG12,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
ENV-INV-2024-0042,2024,4,SITE-DC01,환경투자,오염방지,대기오염 저감장치 유지보수,62500000,37500000,100000000,0.0,0.0,0.0,SDG3,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
ENV-INV-2024-0043,2024,4,SITE-DC04,환경투자,생태복원,춘천DC 주변 생태 녹화,125000000,12500000,137500000,0.0,0.0,0.0,SDG15,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
ENV-INV-2024-0044,2024,4,SITE-DC01,환경투자,탄소중립인프라,REC 구매시스템 구축,200000000,50000000,250000000,1323.5,0.0,3.0,SDG13,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
ENV-INV-2024-0045,2024,4,SITE-DC01,환경보호비용,환경모니터링,대기·수질 정기 측정,0,162500000,162500000,0.0,0.0,0.0,SDG3,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
ENV-INV-2024-0046,2024,4,SITE-OF01,환경보호비용,환경교육,임직원·협력사 환경교육,0,70000000,70000000,0.0,0.0,0.0,SDG4,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
ENV-INV-2024-0047,2024,4,SITE-DC01,환경보호비용,환경인증,ISO14001 인증 유지,0,37500000,37500000,0.0,0.0,0.0,SDG13,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
ENV-INV-2024-0048,2024,4,SITE-DC05,환경부채,토지오염,부지 토양 정화 충당부채,0,112500000,112500000,0.0,0.0,0.0,SDG3,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_env
