record_id,site_code,site_name,year,quarter,waste_type,waste_category,treatment_method,generation_ton,recycling_rate_pct,landfill_rate_pct,incineration_rate_pct,hazardous_waste_yn,treatment_contractor,source_system,created_at,updated_at,updated_by
WST-2024-0001,SITE-DC01,수원 데이터센터,2024,1,일반폐기물,생활폐기물,위탁소각,27.62,0.0,0.0,70.0,N,(주)그린환경,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0002,SITE-DC01,수원 데이터센터,2024,1,일반폐기물,사무용품·포장재,재활용,13.65,90.0,5.0,5.0,N,대한통운,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0003,SITE-DC01,수원 데이터센터,2024,1,일반폐기물,건설부산물,재활용,39.0,85.0,10.0,5.0,N,(주)한국자원순환,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0004,SITE-DC01,수원 데이터센터,2024,1,일반폐기물,음식물쓰레기,위탁처리,9.1,0.0,0.0,0.0,N,(주)그린환경,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0005,SITE-DC01,수원 데이터센터,2024,1,지정폐기물,폐유·윤활유,위탁처리,1.37,0.0,0.0,30.0,Y,(주)에코솔루션,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0006,SITE-DC01,수원 데이터센터,2024,1,지정폐기물,폐배터리(UPS),재활용(제련),6.01,95.0,0.0,0.0,Y,(주)배터리리사이클링,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0007,SITE-DC01,수원 데이터센터,2024,1,지정폐기물,냉매(HFCs),회수·처리,0.91,0.0,0.0,0.0,Y,(주)냉매솔루션,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0008,SITE-DC01,수원 데이터센터,2024,1,지정폐기물,폐전자제품(IT),ITAD재활용,222.62,90.0,5.0,3.0,Y,(주)에코아이티,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0009,SITE-DC01,수원 데이터센터,2024,1,지정폐기물,폐형광등,위탁처리,0.49,0.0,0.0,0.0,Y,(주)그린환경,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0010,SITE-DC02,동탄 데이터센터,2024,1,일반폐기물,생활폐기물,위탁소각,23.38,0.0,0.0,70.0,N,(주)그린환경,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0011,SITE-DC02,동탄 데이터센터,2024,1,일반폐기물,사무용품·포장재,재활용,11.55,90.0,5.0,5.0,N,대한통운,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0012,SITE-DC02,동탄 데이터센터,2024,1,일반폐기물,건설부산물,재활용,33.0,85.0,10.0,5.0,N,(주)한국자원순환,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0013,SITE-DC02,동탄 데이터센터,2024,1,일반폐기물,음식물쓰레기,위탁처리,7.7,0.0,0.0,0.0,N,(주)그린환경,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0014,SITE-DC02,동탄 데이터센터,2024,1,지정폐기물,폐유·윤활유,위탁처리,1.16,0.0,0.0,30.0,Y,(주)에코솔루션,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0015,SITE-DC02,동탄 데이터센터,2024,1,지정폐기물,폐배터리(UPS),재활용(제련),5.09,95.0,0.0,0.0,Y,(주)배터리리사이클링,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0016,SITE-DC02,동탄 데이터센터,2024,1,지정폐기물,냉매(HFCs),회수·처리,0.77,0.0,0.0,0.0,Y,(주)냉매솔루션,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0017,SITE-DC02,동탄 데이터센터,2024,1,지정폐기물,폐전자제품(IT),ITAD재활용,188.38,90.0,5.0,3.0,Y,(주)에코아이티,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0018,SITE-DC02,동탄 데이터센터,2024,1,지정폐기물,폐형광등,위탁처리,0.41,0.0,0.0,0.0,Y,(주)그린환경,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0019,SITE-DC03,상암 데이터센터,2024,1,일반폐기물,생활폐기물,위탁소각,14.87,0.0,0.0,70.0,N,(주)그린환경,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0020,SITE-DC03,상암 데이터센터,2024,1,일반폐기물,사무용품·포장재,재활용,7.35,90.0,5.0,5.0,N,대한통운,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0021,SITE-DC03,상암 데이터센터,2024,1,일반폐기물,건설부산물,재활용,21.0,85.0,10.0,5.0,N,(주)한국자원순환,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
WST-2024-0022,SITE-DC03,상암 데이터센터,2024,1,일반폐기물,음식물쓰레기,위탁처리,4.9,0.0,0.0,0.0,N,(주)그린환경,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,user_env
