Scope 3 — 카테고리별 대표 배출계수 및 산정 방법,,,,,,,,
"  ★ Scope 3는 카테고리별로 활동 데이터 단위와 계수 출처가 다릅니다. 아래 값은 한국 실무에서 Secondary Data로 사용하는 대표값이며, 공급사 실데이터(Primary)가 있으면 우선 적용하세요.",,,,,,,,
Cat.,구분,카테고리,"활동 데이터
단위",★대표 배출계수,계수 단위,출처 DB,산정식 예시,실무 메모·난이도
1,업스트림,구매한 제품·서비스,구매금액(백만원),0.42,tCO₂eq/백만원,"환경부 LCI DB
(제조업 평균)",구매액(백만원) × 0.42,★★★ 공급사 실측값 최우선. 지출기반계수는 오차 큼(±50%)
1,업스트림,"구매한 제품·서비스
(원자재 — 철강)",구매중량(톤),2.1,tCO₂eq/톤,worldsteel / ecoinvent,철강구매량(톤) × 2.1,철강 종류(HR·CR·STS)별 계수 상이. 실측 우선
1,업스트림,"구매한 제품·서비스
(원자재 — 플라스틱)",구매중량(톤),3.5,tCO₂eq/톤,"PlasticsEurope
/ ecoinvent",플라스틱구매량(톤) × 3.5,수지 종류(PE·PP·PET 등)별 계수 상이
2,업스트림,자본재 (설비·건물),CAPEX 지출액(백만원),0.38,tCO₂eq/백만원,"EXIOBASE
(기계장비 산업)",CAPEX(백만원) × 0.38,★★ 설비 취득액 회계 데이터 활용. 내용연수 배분 여부 확인
3,업스트림,"연료·에너지 관련
(WTT — LNG)",LNG 사용량(TJ),6.6,tCO₂eq/TJ,"IEA Upstream EF
/ DEFRA",LNG 사용량(TJ) × 6.6,Well-to-Tank 배출. Scope1 연소 배출과 합산하여 WTW 산출
3,업스트림,"연료·에너지 관련
(WTT — 경유)",경유 사용량(TJ),13.4,tCO₂eq/TJ,IEA Upstream EF,경유 사용량(TJ) × 13.4,
3,업스트림,"연료·에너지 관련
(T&D Loss — 전력)",전력 사용량(MWh),0.0275,tCO₂eq/MWh,"한국전력 송배전
손실률 약 3.5%",전력사용량(MWh) × 0.0275,Scope2 전력계수의 약 6~8% 수준
4,업스트림,"업스트림 운송
(도로 — 5톤 트럭)",운송량(톤·km),0.196,kgCO₂eq/톤·km,"환경부 수송
배출계수 고시",운송량(톤)×거리(km)×0.000196,★ 운송사 물류 데이터 필요. 거리는 도로거리(직선×1.3 보정)
4,업스트림,"업스트림 운송
(도로 — 15톤 트럭)",운송량(톤·km),0.12,kgCO₂eq/톤·km,"환경부 수송
배출계수 고시",운송량(톤)×거리(km)×0.000120,
4,업스트림,"업스트림 운송
(철도)",운송량(톤·km),0.028,kgCO₂eq/톤·km,"환경부 수송
배출계수 고시",운송량(톤)×거리(km)×0.000028,전기철도 기준. 디젤 철도는 상이
4,업스트림,"업스트림 운송
(해상 — 벌크선)",운송량(톤·km),0.0079,kgCO₂eq/톤·km,IMO / DEFRA,운송량(톤)×거리(해리×1.852)×0.0000079,"컨테이너선 0.016, 탱커 0.006 등 선종별 상이"
4,업스트림,"업스트림 운송
(항공 — 국제)",운송량(톤·km),0.602,kgCO₂eq/톤·km,ICAO / DEFRA,운송량(톤)×거리(km)×0.000602,항공 RF 미포함값. 포함 시 ×2 가정
5,업스트림,"사업장 폐기물
(매립)",폐기물량(톤),0.46,tCO₂eq/톤,IPCC 폐기물 계수,매립 폐기물(톤) × 0.46,★ 폐기물 처리 방법별 분리 필수
