record_id,year,quarter,risk_type,risk_subcategory,risk_description,likelihood_1to5,impact_1to5,risk_score,risk_level,time_horizon,financial_impact_low_m,financial_impact_high_m,mitigation_measure,mitigation_status,residual_risk_score,risk_owner,board_oversight_yn,disclosure_framework,source_system,created_at,updated_at,updated_by
RISK-2024-0001,2024,2,기후리스크,전환리스크·탄소세,K-ETS 유상할당 확대 및 탄소세 도입,4,3,12,고,중기(2~5년),15000,45000,재생에너지 전환 가속,진행중,8,ESG위원회,Y,TCFD·GRI2·IFRS S1,GOV,2024-04-10 08:00:00,2024-04-10 09:00:00,user_gov
RISK-2024-0002,2024,2,기후리스크,물리적리스크·폭염,DC 냉각부하 증가 및 전력비용 상승,3,4,12,고,장기(5년+),8000,25000,액침냉각 기술 도입,진행중,9,ESG위원회,Y,TCFD·GRI2·IFRS S1,GOV,2024-04-10 08:00:00,2024-04-10 09:00:00,user_gov
RISK-2024-0003,2024,2,사이버보안리스크,랜섬웨어·APT,정교한 사이버 공격으로 인한 서비스 중단,3,5,15,고,단기(1년),50000,200000,제로트러스트 아키텍처·24/7 SOC,완료,6,리스크관리위원회,Y,TCFD·GRI2·IFRS S1,GOV,2024-04-10 08:00:00,2024-04-10 09:00:00,user_gov
RISK-2024-0004,2024,2,공급망리스크,반도체·IT장비 수급,지정학적 분쟁으로 DC 인프라 구축 지연,3,3,9,중,단기(1년),20000,80000,복수 공급사 확보,진행중,7,리스크관리위원회,Y,TCFD·GRI2·IFRS S1,GOV,2024-04-10 08:00:00,2024-04-10 09:00:00,user_gov
RISK-2024-0005,2024,2,규제리스크,AI규제·데이터법,EU AI Act 시행에 따른 서비스 재설계 비용,4,3,12,고,중기(2~5년),10000,30000,AI 거버넌스 체계 조기 구축,진행중,8,이사회,Y,TCFD·GRI2·IFRS S1,GOV,2024-04-10 08:00:00,2024-04-10 09:00:00,user_gov
RISK-2024-0006,2024,2,재무리스크,환율변동,USD·CNY 환율 변동에 따른 수익성 영향,3,2,6,중,단기(1년),5000,15000,환헤지(선물환) 운용,완료,4,CFO,Y,TCFD·GRI2·IFRS S1,GOV,2024-04-10 08:00:00,2024-04-10 09:00:00,user_gov
RISK-2024-0007,2024,2,인재리스크,AI·클라우드 전문인력,전문인력 이탈 및 확보 경쟁 심화,4,4,16,고,중기(2~5년),20000,60000,처우 경쟁력 강화,진행중,10,CHRO,Y,TCFD·GRI2·IFRS S1,GOV,2024-04-10 08:00:00,2024-04-10 09:00:00,user_gov
RISK-2024-0008,2024,2,ESG리스크,공급망 인권·환경,협력사 ESG 미준수에 따른 평판 리스크,2,3,6,중,중기(2~5년),5000,20000,공급망 ESG 실사 강화,진행중,5,ESG위원회,Y,TCFD·GRI2·IFRS S1,GOV,2024-04-10 08:00:00,2024-04-10 09:00:00,user_gov
RISK-2024-0009,2024,4,기후리스크,전환리스크·탄소세,K-ETS 유상할당 확대 및 탄소세 도입,4,3,12,고,중기(2~5년),15000,45000,재생에너지 전환 가속,진행중,8,ESG위원회,Y,TCFD·GRI2·IFRS S1,GOV,2024-10-10 08:00:00,2024-10-10 09:00:00,user_gov
RISK-2024-0010,2024,4,기후리스크,물리적리스크·폭염,DC 냉각부하 증가 및 전력비용 상승,3,4,12,고,장기(5년+),8000,25000,액침냉각 기술 도입,진행중,9,ESG위원회,Y,TCFD·GRI2·IFRS S1,GOV,2024-10-10 08:00:00,2024-10-10 09:00:00,user_gov
RISK-2024-0011,2024,4,사이버보안리스크,랜섬웨어·APT,정교한 사이버 공격으로 인한 서비스 중단,3,5,15,고,단기(1년),50000,200000,제로트러스트 아키텍처·24/7 SOC,완료,6,리스크관리위원회,Y,TCFD·GRI2·IFRS S1,GOV,2024-10-10 08:00:00,2024-10-10 09:00:00,user_gov
RISK-2024-0012,2024,4,공급망리스크,반도체·IT장비 수급,지정학적 분쟁으로 DC 인프라 구축 지연,3,3,9,중,단기(1년),20000,80000,복수 공급사 확보,진행중,7,리스크관리위원회,Y,TCFD·GRI2·IFRS S1,GOV,2024-10-10 08:00:00,2024-10-10 09:00:00,user_gov
RISK-2024-0013,2024,4,규제리스크,AI규제·데이터법,EU AI Act 시행에 따른 서비스 재설계 비용,4,3,12,고,중기(2~5년),10000,30000,AI 거버넌스 체계 조기 구축,진행중,8,이사회,Y,TCFD·GRI2·IFRS S1,GOV,2024-10-10 08:00:00,2024-10-10 09:00:00,user_gov
RISK-2024-0014,2024,4,재무리스크,환율변동,USD·CNY 환율 변동에 따른 수익성 영향,3,2,6,중,단기(1년),5000,15000,환헤지(선물환) 운용,완료,4,CFO,Y,TCFD·GRI2·IFRS S1,GOV,2024-10-10 08:00:00,2024-10-10 09:00:00,user_gov
RISK-2024-0015,2024,4,인재리스크,AI·클라우드 전문인력,전문인력 이탈 및 확보 경쟁 심화,4,4,16,고,중기(2~5년),20000,60000,처우 경쟁력 강화,진행중,10,CHRO,Y,TCFD·GRI2·IFRS S1,GOV,2024-10-10 08:00:00,2024-10-10 09:00:00,user_gov
RISK-2024-0016,2024,4,ESG리스크,공급망 인권·환경,협력사 ESG 미준수에 따른 평판 리스크,2,3,6,중,중기(2~5년),5000,20000,공급망 ESG 실사 강화,진행중,5,ESG위원회,Y,TCFD·GRI2·IFRS S1,GOV,2024-10-10 08:00:00,2024-10-10 09:00:00,user_gov
